ja,en
アイスクリーム,ice cream
アイロン,iron
アウト,out
アクセサリー,accessory
アクセル,accelerator
アクセント,accent
アジア,Asia
アップ,up
アナウンサー,announcer
アパート,apartment building
アフリカ,Africa
アプローチ,approach
アマチュア,amateur
アメリカ,America
アラブ,Arab
アルカリ,alkali
アルコール,alcohol
アルバイト,Arbeit
アルバム,album
アルミ,aluminum
アンケート,enquête
アンコール,encore
アンテナ,antenna
イコール,equal
イメージ,image
インキ,inkt
インク,inkt
インターチェンジ,interchange
インターナショナル,international
インターフォン,interphone
インタビュー,interview
インテリ,intelligentsiya
インフォメーション,information
インフレ,inflation
ウイスキー,whisky
ウイルス,virus
ウーマン,woman
ウール,wool
エアメール,airmail
エスカレーター,escalator
エチケット,étiquette
エネルギー,Energie
エプロン,apron
エレガント,elegant
エレベーター,elevator
エンジニア,engineer
エンジン,engine
オイル,oil
オーケー,okay
オーケストラ,orchestra
オートバイ,auto bicycle
オートメーション,automation
オーバー,over
オーバーする,over
オープン,open
オフィス,office
オリエンテーション,orientation
オリンピック,Olympic
オルガン,orgão
オレンジ,orange
オンライン,online
ガイド,guide
ガイドブック,guidebook
カーテン,curtain
カード,card
カーブ,curve
カーペット,carpet
カクテル,cocktail
ガス,gas
カセット（テープ）,cassette tape
ガソリン,gasoline
ガソリンスタンド,gasoline stand
カット,cut
カップ,cup
カテゴリー,Kategorie
カバー,cover
ガム,gum
カムバック,come back
カメラ,camera
カメラマン,cameraman
ガラス,glas
カラー,color
カルテ,karte
カレー,curry
ガレージ,garage
カレンダー,calendar
カロリー,calorie
カンニング,cunning
ギター,guitar
キャッチ,catch
キャプテン,captain
キャリア,career
ギャング,gang
キャンパス,campus
キャンプ,camp
キロ,kilo
キロ（グラム）,kilogramme
キロ（メートル）,kilomètre
クイズ,quiz
クーラー,cooler
クラシック,classic
クラス,class
グラム,gramme
クリスマス,Christmas
クリーニング,cleaning
クリーム,cream
グループ,group
グレー,gray
クレーン,crane
ケーキ,cake
ゲーム,game
けしゴム,gom
ゲスト,guest
コース,course
コーチ,coach
コーナー,corner
コーヒー,koffie
コーラス,chorus
